data,tokens
comment : survived breast cancer,"['comment', 'survive', 'breast', 'cancer']"
comment : hello team thank spreading message im working spreading new one next month thought use first seconds video hope dont mind,"['comment', 'hello', 'team', 'thank', 'spread', 'message', 'im', 'work', 'spread', 'new', 'one', 'next', 'month', 'think', 'use', 'first', 'second', 'video', 'hope', 'dont', 'mind']"
comment : pray sister friend,"['comment', 'pray', 'sister', 'friend']"
comment : didnt ask ratio,"['comment', 'didnt', 'ask', 'ratio']"
comment : need speak,"['comment', 'need', 'speak']"
comment : hi need speak ’ stage hope reach back thank,"['comment', 'hi', 'need', 'speak', 'stage', 'hope', 'reach', 'back', 'thank']"
comment : didnt like,"['comment', 'didnt', 'like']"
comment : bro dislikes videos,"['comment', 'bro', 'dislike', 'videos']"
comment : plz pray mom cant wake also,"['comment', 'plz', 'pray', 'mom', 'cant', 'wake', 'also']"
comment : disliked,"['comment', 'dislike']"
comment : terrible vid 🤮,"['comment', 'terrible', 'vid']"
comment : children starving malnutrition,"['comment', 'children', 'starve', 'malnutrition']"
comment : youngboy better,"['comment', 'youngboy', 'better']"
comment : video ’ help ’ getting dislike,"['comment', 'video', 'help', 'get', 'dislike']"
