Text,Tokenized,Sentiment Scores
diagnosed uterine cervical cancer power port put last week go 1st chemo treatment tomorrow june 30th lucky somebody family talk friends going alone mom would go lost als 2016 49 august 1st last chemo treatment august 11th ct scan tumor shrunk surgery hysterectomy another 3 rounds chemo 1 every 3 weeks 6 months total chemo idk stay positive scared crapless know expect suffer high anxiety already getting heartburn eating tums like candy pray fully recover thankfully mine caught early due pelvic exam ladies please forget could save life like mine going lose hair tho waist length bald birthday crap hey least grow back lucky survive,"['diagnosed', 'uterine', 'cervical', 'cancer', 'power', 'port', 'put', 'last', 'week', 'go', '1st', 'chemo', 'treatment', 'tomorrow', 'june', '30th', 'lucky', 'somebody', 'family', 'talk', 'friends', 'going', 'alone', 'mom', 'would', 'go', 'lost', 'als', '2016', '49', 'august', '1st', 'last', 'chemo', 'treatment', 'august', '11th', 'ct', 'scan', 'tumor', 'shrunk', 'surgery', 'hysterectomy', 'another', 'rounds', 'chemo', 'every', 'weeks', 'months', 'total', 'chemo', 'idk', 'stay', 'positive', 'scared', 'crapless', 'know', 'expect', 'suffer', 'high', 'anxiety', 'already', 'getting', 'heartburn', 'eating', 'tums', 'like', 'candy', 'pray', 'fully', 'recover', 'thankfully', 'mine', 'caught', 'early', 'due', 'pelvic', 'exam', 'ladies', 'please', 'forget', 'could', 'save', 'life', 'like', 'mine', 'going', 'lose', 'hair', 'tho', 'waist', 'length', 'bald', 'birthday', 'crap', 'hey', 'least', 'grow', 'back', 'lucky', 'survive']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
strong drug pray,"['strong', 'drug', 'pray']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
chemotherapy kill faster,"['chemotherapy', 'kill', 'faster']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
god bless beautiful lady,"['god', 'bless', 'beautiful', 'lady']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
wonderful opportunity ask private room chemo stage 4 blood cancer immune system totally depleted 0 neutrophils granulocytes low leukocytes chemo treatments yet go chemo infusions texas oncology clinic one wears mask expected sit general waiting room crammed full people wear masks crammed smaller infusion room sitting elbow elbow people getting fluids iron infusions one wearing mask including oncology nurses rest staff totally mind boggling time feel unprotected unsafe go oncology clinic cancer treatments,"['wonderful', 'opportunity', 'ask', 'private', 'room', 'chemo', 'stage', 'blood', 'cancer', 'immune', 'system', 'totally', 'depleted', 'neutrophils', 'granulocytes', 'low', 'leukocytes', 'chemo', 'treatments', 'yet', 'go', 'chemo', 'infusions', 'texas', 'oncology', 'clinic', 'one', 'wears', 'mask', 'expected', 'sit', 'general', 'waiting', 'room', 'crammed', 'full', 'people', 'wear', 'masks', 'crammed', 'smaller', 'infusion', 'room', 'sitting', 'elbow', 'elbow', 'people', 'getting', 'fluids', 'iron', 'infusions', 'one', 'wearing', 'mask', 'including', 'oncology', 'nurses', 'rest', 'staff', 'totally', 'mind', 'boggling', 'time', 'feel', 'unprotected', 'unsafe', 'go', 'oncology', 'clinic', 'cancer', 'treatments']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
12 rounds extreme chemo last year year chemo help im targeted therapy infusion every 2 weeks till end,"['12', 'rounds', 'extreme', 'chemo', 'last', 'year', 'year', 'chemo', 'help', 'im', 'targeted', 'therapy', 'infusion', 'every', 'weeks', 'till', 'end']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
nikola tesla right https youtu mbl9ps6gmda,"['nikola', 'tesla', 'right', 'https', 'youtu', 'mbl9ps6gmda']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
cancer,['cancer'],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
,[],"{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
soo proud,"['soo', 'proud']","{'neg': 0.0, 'neu': 0.0, 'pos': 0.0, 'compound': 0.0}"
